org,date,position_summary,quote,doc_url,source_page
"Agess, Inc.",2023-08-15,Requests Bureau include Salton Sea in Colorado River environmental and hydrology assessments; proposes regional climate hydrology modeling and scenarios including water imports and Laguna Salada restoration to evaluate impacts and potential additional water to Lake Mead and Powell.,We believe the answer is yes but the Salton Sea needs to be included in the assessment of the whole network.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Ak-Chin Indian Community,,Supports proposed allocation but worries the shared priority system could undermine the Secretary's duty to deliver water per the Ak-Chin Water Rights Settlement Act.,The Community supported the proposed allocation but expressed concern that the shared priority concept would jeopardize the Secretary's ability to fulfill his responsibility to deliver water to the reservation as required in the Ak-Chin Water Rights Settlement Act (Pub. L. 95-328).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Ak-Chin Indian community,2022-09-01,"Requests pre-decisional, government-to-government consultation and assistance so tribes can understand and evaluate proposals affecting tribal rights before adoption.","I repeat my hope that the United States will fully implement its commitment to engage in pre- decisional, government- to- government consultation with Ak-Chin",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
American Rivers Environmental Defense Fund National Audubon Society The Nature Conservancy Theodore Roosevelt Conservation Partnership Trout Unlimited Western Resource Advocates,,"Requests comprehensive analysis and stakeholder engagement to inform post-2026 Colorado River operations: analyze conservation costs/benefits in Upper and Lower Basins, impacts on environmental/recreational/hydropower resources, model broad climate, demand and delivery scenarios (including ICS), and create flexible governance.",encouraging the submission and evaluation of information from a diverse range of stakeholders; analyzing the costs and benefits of conservation efforts in the Upper and Lower Basins,https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_NGOs.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
American Whitewater,,"Requests NEPA analyses incorporate published river recreation flow data, prioritize tribal water rights and Indigenous Traditional Ecological Knowledge, and support a public-facing web-tool to convey operational impacts on recreation and the environment.",American Whitewater is very supportive of the Bureau of Reclamation’s plan to create a public facing web-tool that is accessible to the public,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
American Whitewater,2023-08-15,"Advocates that post-2026 guidelines must incorporate ecological and recreational values, require reductions in consumptive use as a core purpose, broaden scope to basinwide operations, and coordinate dam modification analyses within NEPA and public engagement.",Reductions in use need to be baked into the central purpose of this process and carried forward to direct management well into the future.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
American Whitewater,2023-12-11,"Supports the Revised Draft SEIS Proposed Action (Lower Basin Proposal) with conditions: request robust analysis of evaporation/seepage and recreation impacts across the full geographic scope, incorporation of science-based flow needs, Tribal water rights/TEK, and improved modeling of whitewater impacts.",American Whitewater supports the proposed action alternative with the following considerations.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/314_American Whitewater_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
AMM Consulting LLC,2022-07-31,"Urges holding California accountable for excessive water use, argues Nevada/AZ already conserve, calls for reduced downstream releases and changes to allocations to protect Nevada and Arizona water supplies.",The politicians and people of California are 100% to blame for this.,https://www.usbr.gov/ColoradoRiverBasin/documents/Citizen Comments letters 508 compressed_updated_1.30.2023_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/pre-scope/summary-input.html
Amphibian Refuge,2023-10-30,"Requests the SEIS include protective measures for threatened amphibian species in Colorado River reaches, including habitat delineation and population monitoring; highlights need for focus on Hoover Dam to Southern International Boundary area.","In the SEIS, please provide protective measures for special status amphibian species including Couch’s spadefoot, foothills yellow-legged frog, lowland burrowing treefrog, northern leopard frog, relict leopard frog, Sinoloan narrow-mouthed toad, Sonoran green toad, and western spadefoot (SEIS page 3-178).",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/124_Amphibian Refuge_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
AMWA,2023-08-15,"Urges Reclamation to recognize hydrologic realities, prioritize public health and safety, and adopt adequate conservation measures and facility management criteria to protect critical elevations in Lakes Mead and Powell during development of post-2026 guidelines.",AMWA supports its member agencies in the region and encourages Reclamation in its efforts to ensure adequate conservation measures are taken to protect critical elevations in Lakes Mead and Powell in the long term.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Arizona Department of Water Resources,2020-11-13,"Requests Reclamation revise the draft 7D by moving out-of-scope sections to appendices, add discussion of the Lake Powell Equalization Elevation Table and Upper Basin impacts, expand and acknowledge Arizona ICS agreements, clarify the May provision, and strengthen discussion of the 2007 Guidelines' impacts.","In this effort, the Department asks that Reclamation consider and incorporate the above comments.",https://www.usbr.gov/ColoradoRiverBasin/documents/7d/7DReportcomments_ADWR.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/7dreport/draftreport.html
ARIZONA DEPARTMENT of WATERRESOURCES,2023-08-15,"Seeks equitable sharing of Colorado River system protection burdens, evaluation of voluntary storage (ICS) with an Arizona implementation framework including Tribes, and updated beneficial use/efficiency standards for contractors in both Upper and Lower Basins.","the burdens associated with protecting the Colorado River System should not fall disproportionately on any particular state, sector, or water user.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Arizona Farm Bureau Federation,,"Requests meaningful inclusion of agricultural stakeholders, respect for priority water rights, and a more complete EIS analyzing agriculture and food security impacts; urges consideration of conservation, supply augmentation, increased storage, and forest and rangeland health projects.",It should be without question that this priority system be respected in Post-2026 planning through a proper balance of mitigation and voluntary system conservation with the flexibility to plan for both short- and long-term river conditions.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Arizona Farm Bureau Federation,2023-08-15,Represents Arizona farmers and ranchers; emphasizes the critical importance of water to agriculture and raises concern about reduced Central Arizona Project deliveries and declining Lake Powell and Lake Mead levels.,Water is the lifeblood of our thriving agricultural community.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
"Arizona Municipal Power Users’ Association (AMPUA), Arizona Power Authority (APA), Grand Canyon State Electrical Cooperative Association (GCSECA), Irrigation and Electrical Districts Association (IEDA)",2023-12-06,Support the Lower Basin Proposed Alternative (with provision to waive 2026 conservation if 2024–25 snowpack is significant); require comprehensive hydropower and replacement-cost analysis; oppose assigning additional costs to federal hydropower customers; pursue tamarisk removal/dredging and further HFE impacts study.,"Therefore, it is requested that the Bureau not obligate the hydropower customers with additional costs in the Near-Term SEIS process or Post-2026 process.",https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Organizations/555_Joint Arizona Public Power Interests_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
ARIZONA POWER AUTHORITY,2023-08-15,Supports prioritizing and adequately considering hydropower in post-2026 operations; adopts comments from energy and utility associations and emphasizes hydropower's vital role for western grid reliability.,hydropower plays a vital role in ensuring the continued reliability of the western electric grid and it should be treated as such.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Association of Metropolitan Water Agencies (AMWA),2023-08-15,"Requests the Bureau of Reclamation prioritize public health and safety, support federal research to improve water supply forecasts, and provide robust federal support and funding for demand reduction strategies, including peer-to-peer information sharing.",Prioritize public health and safety; Support federal research to operations improvements of water supply forecasts; and Provide robust federal support for demand reduction strategies.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Audubon,,"Requests post-2026 Colorado River guidelines that ensure equitable, sustainable clean water for vulnerable communities and habitats; broaden scope to include water quality, Tribal and environmental impacts; use best science, regular reviews, transparent reservoir accounting, and conservation incentives.",improve Reclamation’s management of the Colorado River by considering management that does not exclude an equitable and sustainable supply of clean water to support vulnerable communities,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Audubon,,"Urges Reclamation to adopt improved accounting and flexible management, prioritize voluntary compensated reductions, evaluate environmental and justice impacts, define mitigation, and develop a resilient post-2026 Colorado River management framework.",We urge Reclamation to establish a process for developing a post-2026 Colorado River management framework that results in a resilient water supply and healthy rivers for all life,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_L-S_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Aurora Water,,No policy position visible in this excerpt; only signature/affiliation is shown.,Marshall P. Brown General Manager Aurora Water,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
AZGFD,2023-08-15,"Requests reservoir and dam infrastructure and operational changes to maintain cool releases (<16°C), protect trout and native fish, address water quality, and preserve boating access; recommends dissolved oxygen targets and fish deterrents.",The Department recommends Reclamation implement structural modifications to Glen Canyon Dam that allow for release of cooler water when the reservoir is at lower water surface elevations.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Bard Water District,,"Opposes uncompensated mandatory cuts; urges prioritization and full analysis of voluntary, compensated conservation programs; requests consideration of users' access to other water sources and continuation of processes that provide certainty and predictability for water users.","These types of voluntary, compensated conservation programs and others should be prioritized and fully analyzed in the post-2026 process.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Bard Water District,2023-08-15,"Demand an inclusive, equitable, transparent Post-2026 guidelines process; require adherence to the Law of the River and priority system; and prioritize voluntary, compensated conservation over mandatory reductions.","The process must include all water users in both the Lower and Upper Basins, tribes, and Mexico, and must also ensure full and equitable participation.",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Fed-State-Local_A-F_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/post2026/scoping/summary-input.html
Bard Water District,2023-12-07,"Bard Water District supports the SEIS Proposed Action only if conservation is achieved through voluntary, compensated reductions; opposes mandatory uncompensated cuts; urges adherence to the Law of the River, shared shortages by Upper Basin and Mexico, and full analysis before emergency reductions.",The District supports the Proposed Action of the revised draft SEIS to the extent that it meets conservation requirements or needs through voluntary and/or compensated reductions.,https://www.usbr.gov/ColoradoRiverBasin/documents/NearTermColoradoRiverOperations/PublicComments/Government/539_Bard Water District_508.pdf,https://www.usbr.gov/ColoradoRiverBasin/interimguidelines/seis/publicinvolvement.html
