stakeholder,org_as_stated,date,source_type,position_summary,quote,doc_url,confidence
Ak-Chin Indian Community,Ak-Chin Indian Community,,usbr_post2026_letter,Supports proposed allocation but worries the shared priority system could undermine the Secretary's duty to deliver water per the Ak-Chin Water Rights Settlement Act.,The Community supported the proposed allocation but expressed concern that the shared priority concept would jeopardize the Secretary's ability to fulfill his responsibility to deliver water to the reservation as required in the Ak-Chin Water Rights Settlement Act (Pub. L. 95-328).,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Ak-Chin Indian Community,the Community,,usbr_post2026_letter,"Requests the EIS manage Lake Powell and Lake Mead to reduce risk, address supply-demand imbalance equitably, expand conservation/storage and augmentation programs (including for Tribes), adopt fair mandatory reductions, and ensure meaningful Nation-to-Nation consultation and protection of Tribal trust responsibilities.",The EIS must identify necessary measures to balance the available water supplies and the uses that rely on the Colorado River.,https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Tribal_Submissions_508.pdf,high
Ak-Chin Indian Community,Ak-Chin Indian community,2022-09-01,usbr_post2026_letter,"Requests pre-decisional, government-to-government consultation and assistance so tribes can understand and evaluate proposals affecting tribal rights before adoption.","I repeat my hope that the United States will fully implement its commitment to engage in pre- decisional, government- to- government consultation with Ak-Chin",https://www.usbr.gov/ColoradoRiverBasin/documents/post2026/scoping/Organizations_G-K_508.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-06-23,board_resolution,"Authorizes the Water Authority to enter into a Grant Agreement with the New Mexico Environment Department (23-H4049-GFR) for the Winrock Wastewater Reuse System to plan, design, construct, permit and equip facilities.","This resolution authorizes the Water Authority to enter into a Grant Agreement with the State of New Mexico Environment Department (23-H4049-GFR) in the amount of $1,385,742.72.",https://legistar.granicus.com/abcwua/attachments/34d1b047-1fe9-48fb-852a-6d5e4d253b89.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-06-23,board_resolution,Albuquerque Bernalillo County Water Utility Authority approved and authorized a New Mexico Environment Department appropriation for the Winrock Wastewater Reuse System.,Approving and Authorizing a New Mexico Environment Department Appropriation for the Winrock Wastewater Reuse System,https://webapi.legistar.com/v1/abcwua/matters/9442/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-08-18,board_resolution,Authorizes the Water Authority to engage in collaboration toward developing a reuse water treatment facility to supply the Maxeon Solar Project at Mesa Del Sol.,Authorizing the Albuquerque Bernalillo County Water Utility Authority to Engage in Collaboration Toward the Development of a Reuse Water Treatment Facility to Supply the Maxeon Solar Project,https://legistar.granicus.com/abcwua/attachments/d00ef8e1-da87-4fa4-b25e-6fe2050b6fe9.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-08-18,board_agreement,Albuquerque Bernalillo County Water Utility Authority authorized engaging in collaboration to develop a reuse water treatment facility to supply the Maxeon Solar Project.,Authorizing the Albuquerque Bernalillo County Water Utility Authority to Engage in Collaboration Toward the Development of a Reuse Water Treatment Facility to Supply the Maxeon Solar Project,https://webapi.legistar.com/v1/abcwua/matters/9455/attachments,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-09-15,board_resolution,"Authorized entering into a $1,395,900 Grant Agreement with the New Mexico Environment Department to plan, design, and construct elements of the Winrock Wastewater Reuse System.","enter into a Grant Agreement with the State of New Mexico Environment Department (23- H4048-STBR)) in the amount of $1,395,900.00.",https://legistar.granicus.com/abcwua/attachments/897d45cb-cde4-4d94-8a8f-5e883b3d4dc7.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-09-15,board_resolution,Authorizes the Albuquerque Bernalillo County Water Utility Authority to enter into a Grant Agreement with the New Mexico Environment Department for the Bosque Non-Potable Water Reclamation Plant and Reuse Project.,"This resolution authorizes the Albuquerque Bernalillo County Water Utility Authority (Water Authority) to enter into a Grant Agreement with the State of New Mexico Environment Department in the amount of $300,000.",https://legistar.granicus.com/abcwua/attachments/b1f2e2e3-46d2-4ff8-99b8-88142115654d.pdf,high
Albuquerque Bernalillo County Water Utility Authority,Albuquerque Bernalillo County Water Utility Authority,2023-09-15,board_resolution,"Authorizes the Water Authority to enter into a Grant Agreement with the New Mexico Environment Department (23-H4047-STBR) to plan, design, construct and equip the Winrock Wastewater Reuse System.","This resolution authorizes the Water Authority to enter into a Grant Agreement with the State of New Mexico Environment Department (23-H4047-STBR) in the amount of $250,000.",https://legistar.granicus.com/abcwua/attachments/6985ec47-ed19-4fb3-94b0-c71a12a2aa38.pdf,high
