entity,date,action_type,summary,dollars_per_AF,total_dollars,acre_feet,platform,doc_url,quote,confidence
Albuquerque Bernalillo County Water Utility Authority,2023-02-03,report,"A Water Resources Division overview noted Colorado River drought, DOI Drought Response Operations Plan, and DOI requirement for a conservation plan of 2-4 million acre-feet by all seven basin states.",,,,legistar,https://legistar.granicus.com/abcwua/attachments/4d927eca-42c9-42f4-95c4-b75380f2b236.pdf,DOI required a plan for the conservation of 2-4 million acre-feet by all 7 basin states,high
Albuquerque Bernalillo County Water Utility Authority,2023-02-03,report,Presentation/report titled 'The Colorado River and Water 2120' by Albuquerque Bernalillo County Water Utility Authority addressing Colorado River issues within Water 2120 planning.,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9412/attachments,The Colorado River and Water 2120,medium
Albuquerque Bernalillo County Water Utility Authority,2023-06-23,resolution,"Authorizes the Water Authority to enter into a Grant Agreement with the New Mexico Environment Department (23-H4049-GFR) for the Winrock Wastewater Reuse System to plan, design, construct, permit and equip facilities.",,1385742.72,,legistar,https://legistar.granicus.com/abcwua/attachments/34d1b047-1fe9-48fb-852a-6d5e4d253b89.pdf,"This resolution authorizes the Water Authority to enter into a Grant Agreement with the State of New Mexico Environment Department (23-H4049-GFR) in the amount of $1,385,742.72.",high
Albuquerque Bernalillo County Water Utility Authority,2023-06-23,resolution,Albuquerque Bernalillo County Water Utility Authority approved and authorized a New Mexico Environment Department appropriation for the Winrock Wastewater Reuse System.,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9442/attachments,Approving and Authorizing a New Mexico Environment Department Appropriation for the Winrock Wastewater Reuse System,high
Albuquerque Bernalillo County Water Utility Authority,2023-08-18,resolution,Authorizes the Water Authority to engage in collaboration toward developing a reuse water treatment facility to supply the Maxeon Solar Project at Mesa Del Sol.,,1000000000,,legistar,https://legistar.granicus.com/abcwua/attachments/d00ef8e1-da87-4fa4-b25e-6fe2050b6fe9.pdf,Authorizing the Albuquerque Bernalillo County Water Utility Authority to Engage in Collaboration Toward the Development of a Reuse Water Treatment Facility to Supply the Maxeon Solar Project,high
Albuquerque Bernalillo County Water Utility Authority,2023-08-18,agreement,Albuquerque Bernalillo County Water Utility Authority authorized engaging in collaboration to develop a reuse water treatment facility to supply the Maxeon Solar Project.,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9455/attachments,Authorizing the Albuquerque Bernalillo County Water Utility Authority to Engage in Collaboration Toward the Development of a Reuse Water Treatment Facility to Supply the Maxeon Solar Project,high
Albuquerque Bernalillo County Water Utility Authority,2023-09-15,resolution,"Authorized entering into a $1,395,900 Grant Agreement with the New Mexico Environment Department to plan, design, and construct elements of the Winrock Wastewater Reuse System.",,1395900,,legistar,https://legistar.granicus.com/abcwua/attachments/897d45cb-cde4-4d94-8a8f-5e883b3d4dc7.pdf,"enter into a Grant Agreement with the State of New Mexico Environment Department (23- H4048-STBR)) in the amount of $1,395,900.00.",high
Albuquerque Bernalillo County Water Utility Authority,2023-09-15,resolution,Authorizes the Albuquerque Bernalillo County Water Utility Authority to enter into a Grant Agreement with the New Mexico Environment Department for the Bosque Non-Potable Water Reclamation Plant and Reuse Project.,,300000,,legistar,https://legistar.granicus.com/abcwua/attachments/b1f2e2e3-46d2-4ff8-99b8-88142115654d.pdf,"This resolution authorizes the Albuquerque Bernalillo County Water Utility Authority (Water Authority) to enter into a Grant Agreement with the State of New Mexico Environment Department in the amount of $300,000.",high
Albuquerque Bernalillo County Water Utility Authority,2023-09-15,resolution,"Authorizes the Water Authority to enter into a Grant Agreement with the New Mexico Environment Department (23-H4047-STBR) to plan, design, construct and equip the Winrock Wastewater Reuse System.",,250000,,legistar,https://legistar.granicus.com/abcwua/attachments/6985ec47-ed19-4fb3-94b0-c71a12a2aa38.pdf,"This resolution authorizes the Water Authority to enter into a Grant Agreement with the State of New Mexico Environment Department (23-H4047-STBR) in the amount of $250,000.",high
Albuquerque Bernalillo County Water Utility Authority,2023-09-15,resolution,Albuquerque Bernalillo County Water Utility Authority approved and authorized a New Mexico Environment Department appropriation for the Winrock Wastewater Reuse System (23-H4048-STBR).,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9468/attachments,Approving and Authorizing a New Mexico Environment Department Appropriation for the Winrock Wastewater Reuse System 23-H4048-STBR,high
Albuquerque Bernalillo County Water Utility Authority,2024-05-03,resolution,"Authorized submitting a $5,000,000 CWSRF application to NMED for the Reuse Pipeline Extension to Winrock.",,5000000,,legistar,https://legistar.granicus.com/abcwua/attachments/28473dd1-2038-4de3-9d9b-e0eee46277dd.pdf,"submit an application in the amount of $5,000,000 to the New Mexico Environment Department (NMED) Clean Water State Revolving Fund (CWSRF) for the Reuse Pipeline Extension to Winrock",high
Albuquerque Bernalillo County Water Utility Authority,2024-05-03,resolution,Albuquerque Bernalillo County Water Utility Authority authorized submission of an application to the New Mexico Environment Department Clean Water State Revolving Fund for the reuse pipeline funding.,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9554/attachments,Authorizing the Albuquerque Bernalillo County Water Utility Authority to Submit an Application for Funding to the New Mexico Environment Department Clean Water State Revolving Fund for the Reuse Pipel,high
Albuquerque Bernalillo County Water Utility Authority,2024-08-16,resolution,"Authorized entering into a $118,800 Grant Agreement with the New Mexico Environment Department for the Bosque Non-potable Wastewater Reuse Plant construction project.",,118800,,legistar,https://legistar.granicus.com/abcwua/attachments/2c02a7ee-e9ed-4f9c-8170-418e1f9d961d.pdf,"enter into a Grant Agreement with the State of New Mexico Environment Department (NMED) in the amount of $118,800",high
Albuquerque Bernalillo County Water Utility Authority,2024-08-16,resolution,Albuquerque Bernalillo County Water Utility Authority approved and authorized a New Mexico Environment Department appropriation for the Bosque Non-Potable Wastewater Reuse Plant construction project.,,,,legistar,https://webapi.legistar.com/v1/abcwua/matters/9578/attachments,Approving and Authorizing a New Mexico Environment Department Appropriation for the Bosque Non potable Wastewater Reuse Plant Construction Project,high
Albuquerque Bernalillo County Water Utility Authority,2024-10-18,resolution,"Authorized submitting a $10,000,000 CWSRF application to NMED for Phase 1 Tijeras Reuse Reservoir and Pump Station.",,10000000,,legistar,https://legistar.granicus.com/abcwua/attachments/cbba7a8a-40ba-44eb-8239-58fdce1ba3f3.pdf,"submit an application in the amount of $10,000,000 to the New Mexico Environment Department (NMED) Clean Water State Revolving Fund (CWSRF) for the Phase 1 Tijeras Reuse Reservoir and Pump Station",high
